"","Group.1","x"
"1","AK",13536
"2","AL",88897
"3","AR",48630
"4","AZ",278957
"5","CA",1238657
"6","CO",299472
"7","CT",70178
"8","DC",19445
"9","DE",29086
"10","FL",544656
"11","GA",244365
"12","GU",296
"13","HI",29666
"14","IA",87790
"15","ID",74553
"16","IL",310360
"17","IN",138134
"18","KS",52728
"19","KY",69587
"20","LA",80720
"21","MA",180055
"22","MD",153696
"23","ME",21036
"24","MI",266581
"25","MN",202981
"26","MO",153697
"27","MS",38294
"28","MT",33673
"29","NC",251099
"30","ND",17354
"31","NE",63590
"32","NH",36953
"33","NJ",196485
"34","NM",44005
"35","NV",121444
"36","NY",246547
"37","OH",213131
"38","OK",69906
"39","OR",159792
"40","PA",235269
"41","PR",13923
"42","RI",23084
"43","SC",130732
"44","SD",26293
"45","TN",150249
"46","TX",668909
"47","UT",142507
"48","VA",211655
"49","VI",552
"50","VT",11440
"51","WA",287692
"52","WI",189515
"53","WV",18372
"54","WY",18219
